table_or_figure_id,row_id,method,condition,metric,mean,sd,n,unit,provenance
tab:dense_clutter,row1,S2P2E (full),dense_clutter,gsr,84.1,3.7,150,%,measured
tab:dense_clutter,row2,S2P2E (full),dense_clutter,pir,10.4,1.8,150,%,measured
tab:dense_clutter,row3,S2P2E (full),dense_clutter,tcr,78.3,3.4,150,%,measured
tab:dense_clutter,row4,OpenVLA + KB,dense_clutter,pir,22.1,3.1,150,%,measured
tab:dense_clutter,row5,OpenVLA,dense_clutter,pir,38.7,5.2,150,%,measured
tab:dense_clutter,row6,OpenVLA + KB,dense_clutter,gsr,68.3,4.0,150,%,measured
tab:dense_clutter,row7,OpenVLA,dense_clutter,gsr,48.9,5.6,150,%,measured
